Which Year of Study are you currently in?,Which Faculty are you from? (Indicate your home faculty if you are in a double degree programme.),"Did you enter campus during semester 1,AY20/21 (for any purpose like studying,visiting etc.)?","During my time on campus,the COVID-19 measures put in place by NUS were easy to follow.","During my time on campus,the COVID-19 measures put in place by NUS were sufficient in ensuring the safety of our health.",The uNivUS phone application is user-friendly and easy to use.,I feel that the zoning restrictions were ________.,The Zoning Restriction was effective in minimising overcrowding and intermingling.,I feel at disadvantage due to the Zoning Restrictions.,"If you agree with the previous question,please share why.",I wear my mask whenever I am on the NUS campus.,I wear my mask whenever I am in NUS residences.,I ensured that the people around me wore their masks at all times.,I ensured that I follow the 1-metre social distancing rule whenever I am in NUS.,What other measures should be implemented by NUS to ensure the safety of our health?,I prefer online classes to physical classes.,I was able to learn as effectively online as in physical classes (answer only if you are in year 2 or higher).,"If you agreed in the previous question,what are the reasons? - Time-saving (e.g. on transport)","If you agreed in the previous question,what are the reasons? - Better learning experience","If you agreed in the previous question,what are the reasons? - Flexible schedule","If you agreed in the previous question,what are the reasons? - Others","If you chose others,please state your reason:",Which of your modules were good examples of online learning? Kindly state the module code.,What are some challenges that you encountered in online learning? - Lack of conducive learning environment at home,What are some challenges that you encountered in online learning? - Lack of study spaces,What are some challenges that you encountered in online learning? - Lack of access to academic resources (e.g. at NUS Libraries),What are some challenges that you encountered in online learning? - Others,"If you chose others,please state your reason:",What do you think could have been done better to support your online learning?,I prefer exams conducted in physical spaces to those conducted remotely (answer only if you are in year 2 or higher).,"If you disagreed in the previous question,what are the reasons?","Based on your observations,how prevalent is cheating and plagiarism in school?","Based on my knowledge,I know ____ incidences of academic dishonesty that has happened during online exams.","If you encountered sexual misconduct on campus,which organisation would you report the case to at your first thought?","If you chose others,please state:",I feel safe studying in NUS.,I feel safe living in NUS residences.,I feel safe approaching a teaching staff alone.,"If you disagreed in the previous question,what are the reasons?",I would feel safe reporting a case of sexual misconduct in NUS.,Do you feel that NUS has sufficiently handled the cases of sexual misconduct in the past semester?,"If you answered 'no’ in the previous question,what are the reasons?",Do you feel that NUS has been sufficiently transparent in its handling of cases of sexual misconduct in the past semester?,"If you answered 'no’ in the previous question,what are the reasons?",Have you read the NUS Code of Conduct for both Students and Staff?,"If you answered 'no’ in the previous question,please skip to the next question. Otherwise,are the principles and boundaries set in the NUS Code of Conduct for Students and/or Staff sufficient?The NUS Code of Conduct for Students and Staff can be found at  https://nus.edu.sg/osa/docs/default-source/osa-doc/resources-and-policies/code-of-student-conduct.pdf and https://www.nus.edu.sg/docs/default-source/corporate-files/about/code-of-conduct-nus-staff.pdf respectively for your reference.",I feel that the frequency of discussions in NUS about sexual misconduct are __.,In what other ways can NUS better tackle sexual misconduct?,"PDPA 2012 DeclarationBy indicating your consent to provide your personal data in this form,you agree that the National University of Singapore,through the National University of Singapore Students' Union is allowed to collect,process,and disclose your data for the purposes of:Receive updates for the purpose of collection of prizes from NUSSU PRU by email;Other reasonably related purposes.All personal information will be kept confidential and used for the purpose(s) stated only.",I consent to the statement above with regards to PDPA 2012,"A Final NoteThank you for your completing the NUSSU PRU Feedback Survey.Once again,if you have provided your Name,NUSNet ID and NUS Email,you will be eligible for a chance to win a $50 Amazon Gift Card or one of 5 $10 Amazon Gift Cards. We will use your responses you have provided to help us create and work on better policies for students and represent you better. If you have any queries or comments,do contact us at feedback@nussu.org.sg.Thank you and have a great day!"
3,Faculty of Arts & Social Sciences,No,,,,,,,,,,,,,Slightly Agree,Slightly Agree,Time-saving (e.g. on transport),,Flexible schedule,,,"PS3257 Political Inquiry: it required minimal to no group discussions, did not have group projects so there was little need for it to be held offline or in-campus; it worked well onlineGL4889B Debate on HR: once again, minimal to no groupwork and discussions so the offline format worked well; it was also a 3 hour seminar so if I had to travel to school and back it would've been extremely tiring",Lack of conducive learning environment at home,,,,,Not having to switch on videos all the time; I understand the Profs want to see our faces but sometimes there are people walking in the background or our environment is unconducive so it's better to just switch on the videos,Slightly Disagree,I think when exams are converted to remote/online they almost always become take-home exams and open-book. Which is better because we produce better quality essays and papers,Seldom,0,Others,the VCU,Strongly Agree,Moderately Agree,Moderately Agree,,Yes,No,I believe communication to students (especially those living in residences) should be made more transparent when a case occurs.,No,"Again, delayed communication to students.",I have not read any Code of Conduct. ,,Sufficient,Co-operate with student groups like SafeNUS? They seem to be doing more in raising awareness on sexual conduct and consent than NUS itself.,,TRUE,
2,Faculty of Arts & Social Sciences,Yes,Moderately Disagree,Strongly Agree,Slightly Disagree,Unnecessary and further reinforcing of an isolated space - at a time when the community was adjusting to a less-harsh new normal.,Slightly Agree,Moderately Agree,Convenience stores (at a time when we desperately needed something) slowed down the process of buying essential items.,Always,Always,Generally,Generally,,Moderately Agree,Slightly Disagree,,,,,,,,,,Others,"Lack of access to professors (for help, casual questions)","Working with COVID-19 restrictions, not shutting all contact off.",Slightly Disagree,Helped as we didn't have to rush someplace right before a paper. Allowed us time to be calm and get ready before the paper.,Sometimes,Some?,NUS Staff,,Slightly Agree,Slightly Agree,Moderately Agree,,Yes,Yes,,Yes,,I have not read any Code of Conduct. ,,Too Little,,,TRUE,
3,School of Computing,No,,,,,,,,,,,,,Strongly Agree,Strongly Agree,Time-saving (e.g. on transport),Better learning experience,Flexible schedule,,,,Lack of conducive learning environment at home,Lack of study spaces,,,,"Offer some SUs this semester, similar to what NTU, SUSS etc offered to students in previous semester 1 unlike NUS where student did not get to exercise any SU option, so that students don't have to worry about the unfair advantages that some other students might have such as non-conducive environment at home or students being able to escape cheating offenses -> scoring higher grades etc in order to create a more level field for everyone and give the students a peace of mind about their academic worries.To add on, if I remember correctly one of the reason cited for not giving SUs to student last semester by NUS was the CAP inflation issue. But if NTU, SUSS etc already gave this option to its student last semester, won't their students' CAP inflate as well making them more attractive than NUS students, to the employers? Didn't this move backfired for NUS?",Slightly Disagree,,Generally,some,Office of Campus Security,,Moderately Agree,Not Applicable,Moderately Agree,,Yes,Yes,,Yes,,I only read that for students.,,Sufficient,,,TRUE,
2,Faculty of Arts & Social Sciences,No,,,,,,,,,,,,,Moderately Disagree,Slightly Disagree,,,,,,"PL3234, PL2132",Lack of conducive learning environment at home,Lack of study spaces,,,,"For psychology, access to statistical softwares such as SPSS could have been made easier.",Moderately Agree,,Sometimes,several,Police,,Moderately Agree,Moderately Agree,Slightly Agree,,Yes,No,"Lack of active communication with residents of Tembusu College on the status of the issue. A formal statement was only released much later and by then, there was already a heated discussion of the topic.",No,NUS should acknowledge it is investigating the matter rather than waiting only until investigations are carried out before releasing a formal statement. Many students look to NUS for information and greater transparency can make them feel more relieved that the institution is looking out for us.,I have not read any Code of Conduct. ,,Too Little,,,TRUE,
2,School of Computing,Yes,Strongly Agree,Strongly Agree,Strongly Agree,pretty tough to move around in,Moderately Disagree,Strongly Agree,I couldn't visit certain areas to study,Always,Always,Always,Always,,Strongly Agree,Slightly Agree,Time-saving (e.g. on transport),Better learning experience,Flexible schedule,,,CS2100,Lack of conducive learning environment at home,Lack of study spaces,,,,Maybe more CA with less timing,Moderately Agree,,Sometimes,0,"Office of Safety, Health & Environment (OSHE)",,Moderately Agree,Strongly Agree,Strongly Agree,,Yes,Yes,,Yes,,I have not read any Code of Conduct. ,,Sufficient,,,TRUE,
4+,Faculty of Law,No,,,,,,,,,,,,,Slightly Agree,Moderately Agree,Time-saving (e.g. on transport),,Flexible schedule,,,,,,,Others,None.,None.,Moderately Disagree,Travel time. Better control over the physical conditions.,Seldom,no,Police,,Strongly Agree,Not Applicable,Strongly Agree,,Yes,Yes,,Yes,,I only read that for students.,,Sufficient,A good job done in the past year; so none.,,TRUE,
2,NUS Business School,Yes,Moderately Agree,Strongly Agree,Strongly Agree,Useful in keeping students safe from covid,Strongly Agree,Slightly Disagree,,Always,Not Applicable ,Sometimes,Generally,,Strongly Agree,Strongly Agree,Time-saving (e.g. on transport),,Flexible schedule,,,,,,Lack of access to academic resources (e.g. at NUS Libraries),,,More consultations,Slightly Agree,,Generally,0,Office of Campus Security,,Moderately Agree,Not Applicable,Moderately Agree,,Yes,Yes,,Yes,,I only read that for students.,,Sufficient,,,TRUE,
1,Yong Loo Lin School of Medicine,Yes,Moderately Agree,Moderately Agree,Moderately Agree,annoying and unnecessary,Moderately Disagree,Moderately Agree,"I could not visit a lot of facilities in NUS, and on the allocated day for my zone I’m not free.",Always,Always,Generally,Generally,,Slightly Agree,Not Applicable  ,,,,,,,Lack of conducive learning environment at home,Lack of study spaces,,,,Not sure,Not Applicable  ,,Seldom,0,Police,,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,Yes,,Yes,,I only read that for students.,Yes,Sufficient,,,TRUE,
1,Faculty of Arts & Social Sciences,Yes,Slightly Disagree,Moderately Disagree,Moderately Agree,useless,Strongly Disagree,Strongly Agree,There were many events I couldn't attend due to restrictions,Always,Not Applicable ,Sometimes,Seldom,,Slightly Disagree,Not Applicable  ,,,,,,"GER1000,FAS1103",Lack of conducive learning environment at home,,,,,nil,Not Applicable  ,,Generally,5,Office of Campus Security,,Slightly Agree,Not Applicable,Slightly Agree,,No,No,Insufficient punishment,No,Not enough knowledge given to students,I have not read any Code of Conduct. ,,Too Little,,,TRUE,
2,Faculty of Science,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Not very useful because students can just walk to the other faculties and study. This means that there would still be a probability of spreading to the other faculties.,Moderately Agree,Slightly Disagree,,Always,Not Applicable ,Generally,Generally,,Strongly Agree,Slightly Agree,Time-saving (e.g. on transport),Better learning experience,Flexible schedule,,,CM2101LSM1306SP1541CM2121CM2111,,,,Others,Nothing,Nothing,Strongly Agree,,Generally,1,Police,,Moderately Agree,Not Applicable,Moderately Agree,,Yes,Yes,,Yes,,I only read that for students.,Yes.,Sufficient,Punishment based on the number of times and the type of assault.,,TRUE,
2,Faculty of Arts & Social Sciences,Yes,Slightly Disagree,Moderately Agree,Slightly Agree,inconvenient at some points but necessary in the early days of covid,Moderately Agree,Moderately Disagree,,Always,Not Applicable ,Generally,Always,,Slightly Agree,Moderately Agree,Time-saving (e.g. on transport),,Flexible schedule,,,"SC3228, SC2213",Lack of conducive learning environment at home,,,,,stop ending lectures late (past the half hour mark),Slightly Agree,,Always,a lot but those aren’t personal experiences,Office of Campus Security,,Moderately Agree,Not Applicable,Moderately Agree,,No,Yes,,Yes,,I only read that for students.,"yes, but as always, it can be made better in some way",Too Little,,,TRUE,
3,Faculty of Arts & Social Sciences,No,,,,,,,,,,,,,Moderately Agree,Slightly Disagree,,,,,,NM4227,Lack of conducive learning environment at home,,,,"For modules that require learning of skills, it is harder to pick it up online as compared to physical classes. Eg NM3230, GET1028",-,Moderately Disagree,"With proctoring, I have to find a space to set up everything (phone included). For exams that require working, physical will always be better because there is no need to keep checking the question on the screen and copying it to paper to do working then tallying it back with answers on screen. It is disruptive and takes up time in a time-sensitive exam.",Seldom,0,"Office of Safety, Health & Environment (OSHE)",,Moderately Agree,Moderately Agree,Slightly Agree,,No,Yes,,Yes,,I have not read any Code of Conduct. ,,Sufficient,,,TRUE,
4+,Yong Loo Lin School of Medicine,Yes,Slightly Agree,Slightly Agree,Moderately Disagree,A hassle,Slightly Agree,Moderately Disagree,,Always,Not Applicable ,Generally,Generally,None,Slightly Disagree,Moderately Disagree,,,,,,Psychiatry HBL,Lack of conducive learning environment at home,Lack of study spaces,Lack of access to academic resources (e.g. at NUS Libraries),,,Small group online tutorials lo,Slightly Agree,,Sometimes,2,Police,,Strongly Agree,Not Applicable,Strongly Agree,,No,Yes,,No,I do not know of any cases but I’m sure there are,I have not read any Code of Conduct. ,,Sufficient,Harsher punishments and lower tolerance,,TRUE,
1,School of Computing,Yes,Moderately Agree,Moderately Disagree,Strongly Agree,not effective because not crossing zone is impossible,Moderately Agree,Moderately Disagree,,Always,Generally,Seldom,Seldom,Restrict number of people in RC,Strongly Agree,Not Applicable  ,,,,,,IS2101,,,Lack of access to academic resources (e.g. at NUS Libraries),,,Study groups,Not Applicable  ,,Always,1,NUS Staff,,Strongly Agree,Strongly Agree,Moderately Agree,,Yes,No,The punishment is not strict enough. Strict expulsion should be the way,No,Tembu case was so obvious theyw ere trying to cover up,I have not read any Code of Conduct. ,,Too Little,Enforce stricter rules and more cameras,,TRUE,
1,Faculty of Arts & Social Sciences,Yes,Slightly Disagree,Moderately Agree,Moderately Disagree,Not very well thought out,Slightly Agree,Slightly Agree,Some days we were not allowed to go to campus,Always,Not Applicable ,Always,Always,,Strongly Disagree,Strongly Disagree,,,Flexible schedule,,,-,Lack of conducive learning environment at home,Lack of study spaces,,,-,FASS should have allowed for more physical classes. Online learning format is simply not conducive for a lot of modules and impeded learning.,Not Applicable  ,,Sometimes,Few,NUS Staff,,Strongly Agree,Not Applicable,Strongly Agree,,Yes,Yes,,Yes,,I have not read any Code of Conduct. ,,Too Little,,,TRUE,
2,School of Computing,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Great in restricting COVID infections,Strongly Agree,Slightly Disagree,,Always,Always,Always,Always,,Slightly Disagree,Not Applicable  ,,,,,Me not in year 2,CS2030S,,,Lack of access to academic resources (e.g. at NUS Libraries),,,Better interaction,Slightly Agree,,Seldom,None,Office of Campus Security,,Moderately Agree,Strongly Agree,Slightly Agree,,Yes,Yes,,Yes,,I have not read any Code of Conduct. ,,Sufficient,,,TRUE,
2,Faculty of Arts & Social Sciences,No,,,,,,,,,,,,,Slightly Disagree,Moderately Disagree,,,,,,,Lack of conducive learning environment at home,Lack of study spaces,,,,Organize into random groups to meet peers,Moderately Agree,,Seldom,0,NUS Staff,,Strongly Agree,Strongly Agree,Strongly Agree,,Yes,Yes,,Yes,,I have read both.,,Too Much,,,TRUE,
2,Faculty of Science,Yes,Moderately Agree,Moderately Agree,Slightly Agree,Inconvenient,Moderately Agree,Slightly Disagree,,Always,Not Applicable ,Generally,Generally,,Moderately Agree,Moderately Agree,Time-saving (e.g. on transport),,Flexible schedule,,,"BT1101, GEQ1000",Lack of conducive learning environment at home,Lack of study spaces,,,,More study spaces in school for students who need a conducive learning environment,Moderately Agree,,Generally,1,Office of Campus Security,,Moderately Agree,Not Applicable,Slightly Agree,,Yes,Yes,,Yes,,I only read that for students.,Yes,Sufficient,"Personally, as a student who does not stay on campus, I think that the chances of experiencing such incidents are lower. Perhaps increased security around public areas of NUS (e.g. UTown) will be good.",,TRUE,
2,Faculty of Engineering,Yes,Moderately Agree,Moderately Agree,Slightly Agree,ok,Slightly Agree,Slightly Disagree,,Always,Not Applicable ,Always,Always,,Slightly Disagree,Moderately Disagree,,,,,Better to be face to face when it comes to the learning experience,,Lack of conducive learning environment at home,Lack of study spaces,,,,moderating test difficulty,Strongly Agree,,Sometimes,0,NUS Staff,,Moderately Agree,Not Applicable,Moderately Agree,,Yes,Yes,,Yes,,I only read that for students.,,Sufficient,,,TRUE,
4+,Faculty of Engineering,Yes,Slightly Agree,Moderately Agree,Slightly Agree,not very effective as public areas like Kent Ridge mrt bus stop is not zoned.,Slightly Agree,Slightly Agree,the study areas in some zones are more than others,Always,Not Applicable ,Always,Generally,,Moderately Agree,Slightly Agree,Time-saving (e.g. on transport),,Flexible schedule,,,"IS3150 since it is a digtial media marketing module, there was no need to actually go to school to attend the lesson and it was better to have it recorded and showing the process of creating social media advertisements on zoom",Lack of conducive learning environment at home,Lack of study spaces,,,,nil,Slightly Disagree,"If online lessons are the norm, then the exams should also take place online since we are more used to this kind of arrangement",Sometimes,0 as I was taking no finals modules and open book exams,Police,,Moderately Agree,Not Applicable,Moderately Agree,,Yes,Yes,,Yes,,I only read that for students.,Yes,Sufficient,Face to face workshop on respect and consent for all students and also include that as a graduation requirement,,TRUE,
1,Faculty of Science,Yes,Moderately Agree,Strongly Agree,Slightly Agree,restrictive,Slightly Agree,Slightly Disagree,,Always,Not Applicable ,Generally,Always,,Strongly Agree,Not Applicable  ,,,,,,,,Lack of study spaces,,,,recorded lessons,Not Applicable  ,,Seldom,0,"Office of Safety, Health & Environment (OSHE)",,Moderately Agree,Not Applicable,Slightly Agree,,No,Yes,,Yes,,I only read that for students.,yes,Sufficient,,,TRUE,
1,School of Computing,Yes,Slightly Agree,Strongly Agree,Slightly Agree,"Quite restrictive for people, especially from smaller zones",Strongly Agree,Slightly Disagree,,Always,Not Applicable ,Always,Always,,Slightly Agree,Not Applicable  ,,,,,,,Lack of conducive learning environment at home,Lack of study spaces,,Others,"Lack of physical interaction with TAs, classmates",Planning the syllabus around the online learning constraint: i.e. people will be less productive as they adapt. The workload cannot be as high as it was pre-Covid,Not Applicable  ,,Seldom,0,Police,,Moderately Agree,Not Applicable,Moderately Agree,,No,Yes,,Yes,,I have not read any Code of Conduct. ,Page for student conduct doesn't load,Too Little,"Have open discussions from parties from all groups of NUS. The objective should not be 'how should we solve the problem'. Rather, frame it as understanding all different perspectives. This discussion must happen multiple times and be a regular occurrence, and have the courage to open it to public (ie media etc). Have conversations that are open, with no  pressure of making change, but rather creating a culture where speaking up is normalized.",,TRUE,
2,Faculty of Engineering,Yes,Slightly Agree,Slightly Agree,Slightly Agree,"necessary, but negatively affected school experience, especially when taking modules outside of home faculty.",Slightly Agree,Slightly Agree,"Interaction with friends/group mates from different faculties means less social activities, and less physical discussions for projects (Online discussions are hard).",Generally,Generally,Generally,Generally,,Slightly Disagree,Slightly Disagree,,,,,,"Modules which self-learning is sufficient. Eg. CFG1002, ES2531, and modules that assignments/method of learning is mainly online e.g. CS2040C.",,,,Others,"Time management, and limited avenue for physical discussions/class participation.",Modules should have weekly graded assignments/quizzes to help us keep track with learning.,Strongly Agree,"I Strongly Agreed in the previous qn (but still answering this qn cuz i feel strongly -->), because, online exams can be very unfair. It is very very difficult to catch/ prevent people from cheating if they really want to, undermining the hard work of the honest students. Online learning still ok. but exams, please make them physical.",Sometimes,2,NUS Staff,,Strongly Agree,Moderately Agree,Strongly Agree,,Yes,No,No opinion.,No,No opinion.,I only read that for students.,No opinion.,Sufficient,,,TRUE,
4+,Faculty of Arts & Social Sciences,Yes,Slightly Agree,Slightly Disagree,Moderately Agree,too restrictive but not very effective,Slightly Agree,Moderately Agree,My movements are restricted to only my own zone and I can't take certain buses which increases inconvenience.,Always,Always,Sometimes,Always,,Slightly Disagree,Moderately Disagree,,,,,,,Lack of conducive learning environment at home,Lack of study spaces,Lack of access to academic resources (e.g. at NUS Libraries),,,Make it more interactive and interesting to reduce zoom fatigue,Moderately Agree,,Seldom,0,Police,,Moderately Agree,Moderately Agree,Slightly Agree,,Yes,Yes,,Yes,,I have read both.,,Too Little,,,TRUE,
3,Faculty of Arts & Social Sciences,No,,,,,,,,,,,,,Slightly Agree,Slightly Agree,Time-saving (e.g. on transport),,,,,EC3303: Assessment methods were adapted to COVID with MCQ quizzes replacing original open ended tests,Lack of conducive learning environment at home,,,,,Lectures could be held through zoom real time or recorded lectures could be made more interactive for certain modules by including practice questions to content covered.,Slightly Agree,,Sometimes,1,Others,NUS Victim Care Unit,Moderately Agree,Not Applicable,Strongly Agree,,Yes,Yes,,No,There were cases that only surfaced after social media or media reports and it took a while before NUS started becoming more transparent by sending email on some of these cases.,I have read both.,,Sufficient,Implement Respect and Consent education every semester instead of just once through the four years.,,TRUE,
1,Faculty of Engineering,Yes,Strongly Agree,Moderately Agree,Strongly Agree,useless. They did not stop cross-contamination and just makes things harder for people who are following rules.,Moderately Disagree,Slightly Disagree,,Always,Not Applicable ,Generally,Always,,Moderately Agree,Not Applicable  ,,,,,,,Lack of conducive learning environment at home,,Lack of access to academic resources (e.g. at NUS Libraries),,,By having more resources online.,Not Applicable  ,,Always,many,Office of Campus Security,,Strongly Agree,Not Applicable,Strongly Agree,,Yes,Yes,,Yes,,I have not read any Code of Conduct. ,,Sufficient,,,TRUE,
4+,Yong Loo Lin School of Medicine,No,,,,,,,,,,,,,Slightly Disagree,Moderately Disagree,,,,Others,May not learn effectively as compared to contact learning,Can't remember. All are flawed.,,,Lack of access to academic resources (e.g. at NUS Libraries),,NA,More breakout sessions or smaller group session,Strongly Agree,NA,Sometimes,unsure,Police,NA,Slightly Agree,Not Applicable,Slightly Agree,NA,Yes,No,Leniency way too many. Has to be firmed in dealing with such conducts,Yes,NA,I only read that for students.,NA,Sufficient,Suspension of candidature or expulsion,,TRUE,
